Numer iteracji;Najlepszy;Sredni;Najgorszy
0;80;100;125
1;80;99;124
2;80;97;120
3;80;97;117
4;80;96;117
5;80;96;121
6;80;94;112
7;80;94;113
8;80;94;111
9;80;94;113
10;80;93;111
11;80;92;105
12;80;91;101
13;80;92;105
14;80;91;104
15;80;93;108
16;80;91;104
17;80;90;101
18;80;92;105
19;80;91;102
20;80;90;102
21;80;91;104
22;80;92;105
23;80;92;104
24;80;92;105
25;80;92;108
26;80;91;104
27;80;90;102
28;80;90;101
29;80;90;102
30;80;91;106
31;80;90;104
32;80;91;105
33;80;92;106
34;80;92;105
35;80;91;109
36;80;91;113
37;80;91;116
38;80;92;120
39;80;92;121
40;80;91;117
41;80;90;113
42;80;91;117
43;80;91;121
44;80;92;117
45;80;91;113
46;80;90;109
47;80;91;113
48;80;92;109
49;80;91;105
50;80;91;102
51;80;92;102
52;80;90;102
53;80;90;102
54;80;91;102
55;80;91;104
56;80;90;100
57;80;91;104
58;80;91;108
59;80;91;104
60;80;91;105
61;80;91;102
62;80;90;101
63;80;90;102
64;80;91;104
65;80;90;100
66;80;89;98
67;80;90;101
68;80;91;104
69;80;91;108
70;80;91;104
71;80;90;101
72;80;91;104
73;80;90;101
74;80;90;101
75;80;91;104
76;80;91;108
77;80;90;104
78;80;91;104
79;80;90;101
80;80;91;104
81;80;91;108
82;80;91;104
83;80;90;101
84;80;91;104
85;80;92;104
86;80;91;104
87;80;91;104
88;80;91;105
89;80;91;104
90;80;90;101
91;80;91;105
92;80;91;104
93;80;90;101
94;80;90;104
95;80;91;104
96;80;90;101
97;80;90;101
98;80;90;100
99;80;91;102
100;80;90;101
